s(m), v_par(m/s), v_perp(m/s)
0, 1.81163e+06, 485425
18116.3, 1.81163e+06, 485442
36232.6, 1.81163e+06, 485460
54348.8, 1.81162e+06, 485477
72465, 1.81162e+06, 485495
90581.2, 1.81161e+06, 485512
108697, 1.8116e+06, 485530
126813, 1.81159e+06, 485571
144929, 1.81158e+06, 485623
163045, 1.81157e+06, 485676
181161, 1.81156e+06, 485729
199276, 1.81154e+06, 485781
217391, 1.81152e+06, 485834
235507, 1.81151e+06, 485898
253622, 1.81149e+06, 485986
271736, 1.81146e+06, 486073
289851, 1.81144e+06, 486161
307965, 1.81142e+06, 486248
326079, 1.81139e+06, 486336
344193, 1.81136e+06, 486423
362306, 1.81134e+06, 486546
380420, 1.81131e+06, 486668
398533, 1.81127e+06, 486790
416645, 1.81124e+06, 486913
434757, 1.81121e+06, 487035
452869, 1.81117e+06, 487157
470981, 1.81113e+06, 487303
489092, 1.81109e+06, 487460
507203, 1.81105e+06, 487617
525313, 1.81101e+06, 487774
543423, 1.81097e+06, 487931
561532, 1.81092e+06, 488088
579641, 1.81087e+06, 488256
597750, 1.81083e+06, 488448
615858, 1.81078e+06, 488640
633965, 1.81073e+06, 488831
652072, 1.81067e+06, 489022
670179, 1.81062e+06, 489214
688285, 1.81056e+06, 489405
706390, 1.81051e+06, 489631
724495, 1.81045e+06, 489856
742599, 1.81039e+06, 490082
760702, 1.81033e+06, 490308
778805, 1.81026e+06, 490533
796908, 1.8102e+06, 490758
815009, 1.81013e+06, 491006
833110, 1.81007e+06, 491266
851211, 1.81e+06, 491526
869310, 1.80993e+06, 491785
887409, 1.80986e+06, 492044
905507, 1.80978e+06, 492304
923605, 1.80971e+06, 492574
941702, 1.80963e+06, 492867
959797, 1.80955e+06, 493160
977893, 1.80947e+06, 493453
995987, 1.80939e+06, 493746
1.01408e+06, 1.80931e+06, 494038
1.03217e+06, 1.80923e+06, 494331
1.05027e+06, 1.80914e+06, 494657
1.06836e+06, 1.80906e+06, 494983
1.08645e+06, 1.80897e+06, 495309
1.10454e+06, 1.80888e+06, 495635
1.12262e+06, 1.80879e+06, 495961
1.14071e+06, 1.80869e+06, 496286
1.1588e+06, 1.8086e+06, 496633
1.17688e+06, 1.8085e+06, 496992
1.19497e+06, 1.80841e+06, 497351
1.21305e+06, 1.80831e+06, 497710
1.23113e+06, 1.80821e+06, 498068
1.24922e+06, 1.80811e+06, 498426
1.2673e+06, 1.808e+06, 498794
1.28538e+06, 1.8079e+06, 499185
1.30345e+06, 1.80779e+06, 499577
1.32153e+06, 1.80769e+06, 499967
1.33961e+06, 1.80758e+06, 500358
1.35768e+06, 1.80747e+06, 500748
1.37576e+06, 1.80736e+06, 501138
1.39383e+06, 1.80724e+06, 501560
1.4119e+06, 1.80713e+06, 501983
1.42997e+06, 1.80701e+06, 502405
1.44804e+06, 1.80689e+06, 502827
1.46611e+06, 1.80677e+06, 503249
1.48418e+06, 1.80665e+06, 503671
1.50224e+06, 1.80653e+06, 504112
1.52031e+06, 1.80641e+06, 504566
1.53837e+06, 1.80628e+06, 505020
1.55643e+06, 1.80616e+06, 505474
1.57449e+06, 1.80603e+06, 505927
1.59255e+06, 1.8059e+06, 506379
1.61061e+06, 1.80577e+06, 506840
1.62867e+06, 1.80564e+06, 507325
1.64673e+06, 1.8055e+06, 507810
1.66478e+06, 1.80537e+06, 508294
1.68283e+06, 1.80523e+06, 508777
1.70088e+06, 1.80509e+06, 509261
1.71893e+06, 1.80495e+06, 509743
1.73698e+06, 1.80481e+06, 510255
1.75503e+06, 1.80467e+06, 510770
1.77308e+06, 1.80452e+06, 511284
1.79112e+06, 1.80438e+06, 511798
1.80916e+06, 1.80423e+06, 512311
1.82721e+06, 1.80408e+06, 512824
1.84525e+06, 1.80393e+06, 513353
1.86328e+06, 1.80378e+06, 513898
1.88132e+06, 1.80362e+06, 514442
1.89936e+06, 1.80347e+06, 514985
1.91739e+06, 1.80331e+06, 515528
1.93542e+06, 1.80316e+06, 516070
1.95345e+06, 1.803e+06, 516617
1.97148e+06, 1.80284e+06, 517190
1.98951e+06, 1.80267e+06, 517763
2.00754e+06, 1.80251e+06, 518335
2.02556e+06, 1.80235e+06, 518907
2.04358e+06, 1.80218e+06, 519477
2.0616e+06, 1.80201e+06, 520048
2.07962e+06, 1.80184e+06, 520643
2.09764e+06, 1.80167e+06, 521244
2.11566e+06, 1.8015e+06, 521845
2.13367e+06, 1.80132e+06, 522445
2.15168e+06, 1.80115e+06, 523044
2.16969e+06, 1.80097e+06, 523642
2.1877e+06, 1.80079e+06, 524253
2.20571e+06, 1.80061e+06, 524882
2.22372e+06, 1.80043e+06, 525510
2.24172e+06, 1.80025e+06, 526138
2.25972e+06, 1.80007e+06, 526764
2.27772e+06, 1.79988e+06, 527390
2.29572e+06, 1.79969e+06, 528017
2.31371e+06, 1.7995e+06, 528673
2.33171e+06, 1.79931e+06, 529328
2.3497e+06, 1.79912e+06, 529983
2.36769e+06, 1.79893e+06, 530636
2.38568e+06, 1.79874e+06, 531289
2.40367e+06, 1.79854e+06, 531940
2.42165e+06, 1.79834e+06, 532613
2.43963e+06, 1.79814e+06, 533295
2.45761e+06, 1.79794e+06, 533975
2.47559e+06, 1.79774e+06, 534655
2.49357e+06, 1.79754e+06, 535334
2.51154e+06, 1.79733e+06, 536012
2.52951e+06, 1.79713e+06, 536698
2.54748e+06, 1.79692e+06, 537406
2.56545e+06, 1.79671e+06, 538112
2.58342e+06, 1.7965e+06, 538817
2.60138e+06, 1.79629e+06, 539522
2.61934e+06, 1.79607e+06, 540225
2.6373e+06, 1.79586e+06, 540928
2.65526e+06, 1.79564e+06, 541658
2.67322e+06, 1.79542e+06, 542389
2.69117e+06, 1.7952e+06, 543119
2.70912e+06, 1.79498e+06, 543849
2.72707e+06, 1.79476e+06, 544577
2.74502e+06, 1.79454e+06, 545304
2.76296e+06, 1.79431e+06, 546047
2.7809e+06, 1.79408e+06, 546803
2.79884e+06, 1.79386e+06, 547557
2.81678e+06, 1.79363e+06, 548311
2.83471e+06, 1.79339e+06, 549063
2.85265e+06, 1.79316e+06, 549815
2.87058e+06, 1.79293e+06, 550569
2.88851e+06, 1.79269e+06, 551349
2.90643e+06, 1.79245e+06, 552127
2.92435e+06, 1.79222e+06, 552904
2.94228e+06, 1.79198e+06, 553681
2.96019e+06, 1.79173e+06, 554455
2.97811e+06, 1.79149e+06, 555229
2.99602e+06, 1.79125e+06, 556024
3.01394e+06, 1.791e+06, 556825
3.03184e+06, 1.79075e+06, 557625
3.04975e+06, 1.7905e+06, 558425
3.06765e+06, 1.79025e+06, 559222
3.08556e+06, 1.79e+06, 560019
3.10345e+06, 1.78975e+06, 560824
3.12135e+06, 1.78949e+06, 561648
3.13924e+06, 1.78924e+06, 562470
3.15713e+06, 1.78898e+06, 563292
3.17502e+06, 1.78872e+06, 564112
3.19291e+06, 1.78846e+06, 564930
3.21079e+06, 1.7882e+06, 565748
3.22867e+06, 1.78793e+06, 566591
3.24655e+06, 1.78767e+06, 567435
3.26443e+06, 1.7874e+06, 568278
3.2823e+06, 1.78713e+06, 569120
3.30017e+06, 1.78687e+06, 569960
3.31804e+06, 1.78659e+06, 570799
3.3359e+06, 1.78632e+06, 571651
3.35376e+06, 1.78605e+06, 572516
3.37162e+06, 1.78577e+06, 573380
3.38948e+06, 1.7855e+06, 574243
3.40733e+06, 1.78522e+06, 575104
3.42518e+06, 1.78494e+06, 575964
3.44303e+06, 1.78466e+06, 576824
3.46088e+06, 1.78437e+06, 577710
3.47872e+06, 1.78409e+06, 578594
3.49656e+06, 1.7838e+06, 579477
3.51439e+06, 1.78352e+06, 580359
3.53223e+06, 1.78323e+06, 581239
3.55006e+06, 1.78294e+06, 582117
3.56789e+06, 1.78265e+06, 583012
3.58571e+06, 1.78236e+06, 583916
3.60353e+06, 1.78206e+06, 584819
3.62135e+06, 1.78177e+06, 585720
3.63917e+06, 1.78147e+06, 586620
3.65698e+06, 1.78117e+06, 587518
3.67479e+06, 1.78087e+06, 588420
3.6926e+06, 1.78057e+06, 589343
3.7104e+06, 1.78026e+06, 590265
3.72821e+06, 1.77996e+06, 591186
3.746e+06, 1.77965e+06, 592104
3.7638e+06, 1.77935e+06, 593021
3.78159e+06, 1.77904e+06, 593937
3.79938e+06, 1.77873e+06, 594872
3.81716e+06, 1.77842e+06, 595812
3.83495e+06, 1.7781e+06, 596751
3.85273e+06, 1.77779e+06, 597688
3.8705e+06, 1.77747e+06, 598623
3.88828e+06, 1.77715e+06, 599557
3.90605e+06, 1.77684e+06, 600498
3.92381e+06, 1.77651e+06, 601456
3.94158e+06, 1.77619e+06, 602413
3.95934e+06, 1.77587e+06, 603368
3.97709e+06, 1.77554e+06, 604321
3.99485e+06, 1.77522e+06, 605273
4.0126e+06, 1.77489e+06, 606223
4.03035e+06, 1.77456e+06, 607194
4.04809e+06, 1.77423e+06, 608168
4.06583e+06, 1.7739e+06, 609140
4.08357e+06, 1.77356e+06, 610111
4.1013e+06, 1.77323e+06, 611079
4.11903e+06, 1.77289e+06, 612046
4.13676e+06, 1.77256e+06, 613022
4.15448e+06, 1.77222e+06, 614013
4.1722e+06, 1.77187e+06, 615002
4.18992e+06, 1.77153e+06, 615989
4.20763e+06, 1.77119e+06, 616974
4.22534e+06, 1.77084e+06, 617958
4.24305e+06, 1.7705e+06, 618940
4.26075e+06, 1.77015e+06, 619944
