position (Re),perp scale (1/m)
-5.73657e+07,5.60663e-05
-5.72509e+07,5.58442e-05
-5.71362e+07,5.56226e-05
-5.70215e+07,5.54014e-05
-5.69067e+07,5.51806e-05
-5.6792e+07,5.49603e-05
-5.66773e+07,5.47404e-05
-5.65625e+07,5.4521e-05
-5.64478e+07,5.4302e-05
-5.63331e+07,5.40834e-05
-5.62184e+07,5.38653e-05
-5.61036e+07,5.36477e-05
-5.59889e+07,5.34305e-05
-5.58742e+07,5.32137e-05
-5.57594e+07,5.29974e-05
-5.56447e+07,5.27815e-05
-5.553e+07,5.25661e-05
-5.54152e+07,5.23511e-05
-5.53005e+07,5.21366e-05
-5.51858e+07,5.19225e-05
-5.5071e+07,5.17088e-05
-5.49563e+07,5.14956e-05
-5.48416e+07,5.12829e-05
-5.47268e+07,5.10705e-05
-5.46121e+07,5.08587e-05
-5.44974e+07,5.06472e-05
-5.43827e+07,5.04363e-05
-5.42679e+07,5.02257e-05
-5.41532e+07,5.00156e-05
-5.40385e+07,4.9806e-05
-5.39237e+07,4.95968e-05
-5.3809e+07,4.9388e-05
-5.36943e+07,4.91797e-05
-5.35795e+07,4.89718e-05
-5.34648e+07,4.87644e-05
-5.33501e+07,4.85574e-05
-5.32353e+07,4.83509e-05
-5.31206e+07,4.81448e-05
-5.30059e+07,4.79391e-05
-5.28911e+07,4.77339e-05
-5.27764e+07,4.75292e-05
-5.26617e+07,4.73249e-05
-5.25469e+07,4.7121e-05
-5.24322e+07,4.69176e-05
-5.23175e+07,4.67146e-05
-5.22028e+07,4.65121e-05
-5.2088e+07,4.631e-05
-5.19733e+07,4.61083e-05
-5.18586e+07,4.59071e-05
-5.17438e+07,4.57064e-05
-5.16291e+07,4.5506e-05
-5.15144e+07,4.53062e-05
-5.13996e+07,4.51068e-05
-5.12849e+07,4.49078e-05
-5.11702e+07,4.47092e-05
-5.10554e+07,4.45112e-05
-5.09407e+07,4.43135e-05
-5.0826e+07,4.41163e-05
-5.07112e+07,4.39196e-05
-5.05965e+07,4.37233e-05
-5.04818e+07,4.35274e-05
-5.03671e+07,4.3332e-05
-5.02523e+07,4.3137e-05
-5.01376e+07,4.29425e-05
-5.00229e+07,4.27484e-05
-4.99081e+07,4.25547e-05
-4.97934e+07,4.23615e-05
-4.96787e+07,4.21688e-05
-4.95639e+07,4.19765e-05
-4.94492e+07,4.17846e-05
-4.93345e+07,4.15932e-05
-4.92197e+07,4.14022e-05
-4.9105e+07,4.12117e-05
-4.89903e+07,4.10216e-05
-4.88755e+07,4.0832e-05
-4.87608e+07,4.06428e-05
-4.86461e+07,4.0454e-05
-4.85314e+07,4.02657e-05
-4.84166e+07,4.00778e-05
-4.83019e+07,3.98904e-05
-4.81872e+07,3.97035e-05
-4.80724e+07,3.95169e-05
-4.79577e+07,3.93308e-05
-4.7843e+07,3.91452e-05
-4.77282e+07,3.896e-05
-4.76135e+07,3.87753e-05
-4.74988e+07,3.8591e-05
-4.7384e+07,3.84071e-05
-4.72693e+07,3.82237e-05
-4.71546e+07,3.80407e-05
-4.70398e+07,3.78582e-05
-4.69251e+07,3.76761e-05
-4.68104e+07,3.74945e-05
-4.66957e+07,3.73133e-05
-4.65809e+07,3.71325e-05
-4.64662e+07,3.69522e-05
-4.63515e+07,3.67724e-05
-4.62367e+07,3.6593e-05
-4.6122e+07,3.6414e-05
-4.60073e+07,3.62355e-05
-4.58925e+07,3.60574e-05
-4.57778e+07,3.58797e-05
-4.56631e+07,3.57026e-05
-4.55483e+07,3.55258e-05
-4.54336e+07,3.53495e-05
-4.53189e+07,3.51737e-05
-4.52041e+07,3.49982e-05
-4.50894e+07,3.48233e-05
-4.49747e+07,3.46488e-05
-4.486e+07,3.44747e-05
-4.47452e+07,3.4301e-05
-4.46305e+07,3.41279e-05
-4.45158e+07,3.39551e-05
-4.4401e+07,3.37828e-05
-4.42863e+07,3.3611e-05
-4.41716e+07,3.34395e-05
-4.40568e+07,3.32686e-05
-4.39421e+07,3.30981e-05
-4.38274e+07,3.2928e-05
-4.37126e+07,3.27584e-05
-4.35979e+07,3.25892e-05
-4.34832e+07,3.24204e-05
-4.33684e+07,3.22521e-05
-4.32537e+07,3.20843e-05
-4.3139e+07,3.19169e-05
-4.30242e+07,3.17499e-05
-4.29095e+07,3.15834e-05
-4.27948e+07,3.14173e-05
-4.26801e+07,3.12517e-05
-4.25653e+07,3.10865e-05
-4.24506e+07,3.09218e-05
-4.23359e+07,3.07575e-05
-4.22211e+07,3.05936e-05
-4.21064e+07,3.04302e-05
-4.19917e+07,3.02672e-05
-4.18769e+07,3.01047e-05
-4.17622e+07,2.99427e-05
-4.16475e+07,2.9781e-05
-4.15327e+07,2.96198e-05
-4.1418e+07,2.94591e-05
-4.13033e+07,2.92988e-05
-4.11885e+07,2.9139e-05
-4.10738e+07,2.89796e-05
-4.09591e+07,2.88206e-05
-4.08444e+07,2.86621e-05
-4.07296e+07,2.8504e-05
-4.06149e+07,2.83464e-05
-4.05002e+07,2.81892e-05
-4.03854e+07,2.80325e-05
-4.02707e+07,2.78762e-05
-4.0156e+07,2.77203e-05
-4.00412e+07,2.75649e-05
-3.99265e+07,2.741e-05
-3.98118e+07,2.72555e-05
-3.9697e+07,2.71014e-05
-3.95823e+07,2.69478e-05
-3.94676e+07,2.67946e-05
-3.93528e+07,2.66418e-05
-3.92381e+07,2.64896e-05
-3.91234e+07,2.63377e-05
-3.90087e+07,2.61863e-05
-3.88939e+07,2.60354e-05
-3.87792e+07,2.58848e-05
-3.86645e+07,2.57348e-05
-3.85497e+07,2.55852e-05
-3.8435e+07,2.5436e-05
-3.83203e+07,2.52872e-05
-3.82055e+07,2.5139e-05
-3.80908e+07,2.49911e-05
-3.79761e+07,2.48437e-05
-3.78613e+07,2.46968e-05
-3.77466e+07,2.45502e-05
-3.76319e+07,2.44042e-05
-3.75171e+07,2.42586e-05
-3.74024e+07,2.41134e-05
-3.72877e+07,2.39687e-05
-3.7173e+07,2.38244e-05
-3.70582e+07,2.36805e-05
-3.69435e+07,2.35371e-05
-3.68288e+07,2.33942e-05
-3.6714e+07,2.32517e-05
-3.65993e+07,2.31096e-05
-3.64846e+07,2.2968e-05
-3.63698e+07,2.28268e-05
-3.62551e+07,2.26861e-05
-3.61404e+07,2.25458e-05
-3.60256e+07,2.2406e-05
-3.59109e+07,2.22666e-05
-3.57962e+07,2.21276e-05
-3.56814e+07,2.19891e-05
-3.55667e+07,2.1851e-05
-3.5452e+07,2.17134e-05
-3.53372e+07,2.15762e-05
-3.52225e+07,2.14395e-05
-3.51078e+07,2.13032e-05
-3.49931e+07,2.11674e-05
-3.48783e+07,2.1032e-05
-3.47636e+07,2.08971e-05
-3.46489e+07,2.07626e-05
-3.45341e+07,2.06285e-05
-3.44194e+07,2.04949e-05
-3.43047e+07,2.03617e-05
-3.41899e+07,2.0229e-05
-3.40752e+07,2.00967e-05
-3.39605e+07,1.99649e-05
-3.38457e+07,1.98335e-05
-3.3731e+07,1.97025e-05
-3.36163e+07,1.9572e-05
-3.35015e+07,1.9442e-05
-3.33868e+07,1.93123e-05
-3.32721e+07,1.91832e-05
-3.31574e+07,1.90545e-05
-3.30426e+07,1.89262e-05
-3.29279e+07,1.87983e-05
-3.28132e+07,1.8671e-05
-3.26984e+07,1.8544e-05
-3.25837e+07,1.84175e-05
-3.2469e+07,1.82914e-05
-3.23542e+07,1.81658e-05
-3.22395e+07,1.80407e-05
-3.21248e+07,1.79159e-05
-3.201e+07,1.77917e-05
-3.18953e+07,1.76678e-05
-3.17806e+07,1.75444e-05
-3.16658e+07,1.74215e-05
-3.15511e+07,1.7299e-05
-3.14364e+07,1.71769e-05
-3.13217e+07,1.70553e-05
-3.12069e+07,1.69342e-05
-3.10922e+07,1.68135e-05
-3.09775e+07,1.66932e-05
-3.08627e+07,1.65733e-05
-3.0748e+07,1.6454e-05
-3.06333e+07,1.6335e-05
-3.05185e+07,1.62165e-05
-3.04038e+07,1.60985e-05
-3.02891e+07,1.59809e-05
-3.01743e+07,1.58637e-05
-3.00596e+07,1.5747e-05
-2.99449e+07,1.56307e-05
-2.98301e+07,1.55149e-05
-2.97154e+07,1.53995e-05
-2.96007e+07,1.52845e-05
-2.9486e+07,1.51701e-05
-2.93712e+07,1.5056e-05
-2.92565e+07,1.49424e-05
-2.91418e+07,1.48292e-05
-2.9027e+07,1.47165e-05
-2.89123e+07,1.46042e-05
-2.87976e+07,1.44924e-05
-2.86828e+07,1.4381e-05
-2.85681e+07,1.42701e-05
