s(m), v_par(m/s), v_perp(m/s)
0, 485425, 1.81163e+06
4854.21, 485414, 1.8117e+06
9708.2, 485380, 1.81177e+06
14561.7, 485325, 1.81184e+06
19414.6, 485248, 1.81191e+06
24266.6, 485148, 1.81198e+06
29117.5, 485026, 1.81205e+06
33967.1, 484882, 1.81212e+06
38815.1, 484716, 1.81219e+06
43661.3, 484528, 1.81226e+06
48505.6, 484318, 1.81233e+06
53347.6, 484085, 1.8124e+06
58187.2, 483831, 1.81247e+06
63024.2, 483554, 1.81254e+06
67858.2, 483256, 1.81261e+06
72689.2, 482935, 1.81268e+06
77516.8, 482592, 1.81275e+06
82341, 482228, 1.81282e+06
87161.3, 481841, 1.81289e+06
91977.7, 481432, 1.81296e+06
96789.9, 481002, 1.81303e+06
101598, 480549, 1.8131e+06
106401, 480075, 1.81317e+06
111199, 479578, 1.81324e+06
115992, 479060, 1.81334e+06
120780, 478520, 1.81355e+06
125563, 477958, 1.81376e+06
130339, 477374, 1.81396e+06
135110, 476768, 1.81417e+06
139875, 476141, 1.81438e+06
144633, 475492, 1.81458e+06
149384, 474821, 1.81479e+06
154129, 474128, 1.81499e+06
158867, 473414, 1.8152e+06
163597, 472679, 1.8154e+06
168320, 471921, 1.81561e+06
173036, 471143, 1.81581e+06
177743, 470342, 1.81601e+06
182442, 469521, 1.81622e+06
187133, 468678, 1.81642e+06
191816, 467813, 1.81662e+06
196490, 466927, 1.81682e+06
201154, 466020, 1.81703e+06
205810, 465091, 1.81723e+06
210456, 464142, 1.81743e+06
215093, 463171, 1.81763e+06
219720, 462179, 1.81783e+06
224336, 461166, 1.81803e+06
228943, 460132, 1.81823e+06
233539, 459077, 1.81854e+06
238124, 458000, 1.81887e+06
242699, 456904, 1.8192e+06
247262, 455786, 1.81953e+06
251814, 454647, 1.81986e+06
256355, 453488, 1.82018e+06
260884, 452308, 1.82051e+06
265401, 451107, 1.82083e+06
269906, 449886, 1.82116e+06
274399, 448644, 1.82148e+06
278879, 447382, 1.8218e+06
283346, 446099, 1.82212e+06
287801, 444796, 1.82244e+06
292242, 443473, 1.82276e+06
296670, 442129, 1.82308e+06
301085, 440765, 1.8234e+06
305486, 439381, 1.82371e+06
309872, 437978, 1.82403e+06
314245, 436554, 1.82434e+06
318603, 435110, 1.82465e+06
322947, 433646, 1.82497e+06
327276, 432163, 1.82528e+06
331590, 430660, 1.82558e+06
335889, 429137, 1.82589e+06
340173, 427594, 1.8262e+06
344441, 426033, 1.82651e+06
348694, 424451, 1.82694e+06
352930, 422850, 1.82736e+06
357151, 421230, 1.82779e+06
361355, 419591, 1.82821e+06
365542, 417933, 1.82863e+06
369713, 416255, 1.82905e+06
373867, 414559, 1.82946e+06
378004, 412844, 1.82988e+06
382124, 411110, 1.83029e+06
386226, 409357, 1.8307e+06
390311, 407585, 1.83111e+06
394378, 405795, 1.83152e+06
398427, 403986, 1.83192e+06
402458, 402159, 1.83232e+06
406470, 400313, 1.83272e+06
410464, 398450, 1.83312e+06
414439, 396568, 1.83352e+06
418395, 394668, 1.83392e+06
422332, 392749, 1.83431e+06
426250, 390813, 1.8347e+06
430149, 388860, 1.83509e+06
434027, 386888, 1.83548e+06
437886, 384899, 1.83586e+06
441725, 382892, 1.83625e+06
445544, 380868, 1.83663e+06
449343, 378826, 1.83701e+06
453121, 376767, 1.83738e+06
456878, 374691, 1.83776e+06
460614, 372598, 1.83818e+06
464330, 370488, 1.83865e+06
468024, 368361, 1.83913e+06
471697, 366217, 1.8396e+06
475348, 364056, 1.84007e+06
478978, 361879, 1.84053e+06
482586, 359685, 1.84099e+06
486172, 357475, 1.84145e+06
489735, 355249, 1.84191e+06
493277, 353006, 1.84236e+06
496795, 350747, 1.84281e+06
500291, 348472, 1.84326e+06
503765, 346182, 1.8437e+06
507215, 343875, 1.84414e+06
510642, 341553, 1.84458e+06
514046, 339215, 1.84501e+06
517426, 336862, 1.84544e+06
520783, 334493, 1.84587e+06
524116, 332110, 1.8463e+06
527425, 329711, 1.84672e+06
530710, 327296, 1.84714e+06
533971, 324867, 1.84756e+06
537208, 322424, 1.84797e+06
540420, 319965, 1.84838e+06
543607, 317492, 1.84878e+06
546769, 315004, 1.84919e+06
549907, 312502, 1.84959e+06
553019, 309986, 1.84998e+06
556107, 307456, 1.85038e+06
559169, 304911, 1.85077e+06
562205, 302353, 1.85115e+06
565216, 299781, 1.85153e+06
568200, 297195, 1.85191e+06
571159, 294596, 1.85229e+06
574092, 291983, 1.85268e+06
576999, 289357, 1.85313e+06
579879, 286717, 1.85358e+06
582733, 284065, 1.85402e+06
585561, 281400, 1.85446e+06
588361, 278721, 1.85489e+06
591135, 276030, 1.85532e+06
593882, 273327, 1.85575e+06
596602, 270611, 1.85617e+06
599294, 267882, 1.85659e+06
601959, 265142, 1.857e+06
604597, 262389, 1.85741e+06
607207, 259625, 1.85782e+06
609789, 256848, 1.85822e+06
612344, 254060, 1.85861e+06
614870, 251260, 1.859e+06
617369, 248449, 1.85939e+06
619839, 245626, 1.85977e+06
622281, 242792, 1.86015e+06
624695, 239947, 1.86052e+06
627080, 237092, 1.86089e+06
629437, 234225, 1.86126e+06
631765, 231348, 1.86162e+06
634064, 228460, 1.86197e+06
636334, 225561, 1.86232e+06
638575, 222653, 1.86267e+06
640787, 219734, 1.86301e+06
642970, 216805, 1.86335e+06
645123, 213866, 1.86368e+06
647247, 210918, 1.86401e+06
649341, 207960, 1.86433e+06
651406, 204992, 1.86465e+06
653441, 202015, 1.86497e+06
655446, 199029, 1.86528e+06
657422, 196034, 1.86558e+06
659367, 193030, 1.86588e+06
661282, 190017, 1.86618e+06
663167, 186995, 1.86647e+06
665022, 183965, 1.86675e+06
666847, 180927, 1.86704e+06
668641, 177880, 1.86731e+06
670404, 174825, 1.86758e+06
672137, 171762, 1.86785e+06
673839, 168691, 1.86811e+06
675511, 165613, 1.86837e+06
677152, 162527, 1.86862e+06
678761, 159433, 1.86887e+06
680340, 156333, 1.86912e+06
681888, 153225, 1.86935e+06
683405, 150110, 1.86959e+06
684890, 146988, 1.86982e+06
686345, 143860, 1.87004e+06
687767, 140725, 1.87026e+06
689159, 137584, 1.87049e+06
690519, 134436, 1.87074e+06
691848, 131282, 1.87098e+06
693145, 128122, 1.87122e+06
694410, 124957, 1.87145e+06
695644, 121785, 1.87167e+06
696846, 118609, 1.87189e+06
698016, 115426, 1.87211e+06
699154, 112239, 1.87231e+06
700261, 109046, 1.87251e+06
701335, 105848, 1.87271e+06
702378, 102646, 1.8729e+06
703388, 99438.7, 1.87308e+06
704366, 96227.1, 1.87326e+06
705313, 93011, 1.87343e+06
706227, 89790.6, 1.8736e+06
707108, 86566.2, 1.87376e+06
707958, 83337.8, 1.87391e+06
708775, 80105.6, 1.87406e+06
709560, 76869.8, 1.8742e+06
710313, 73630.5, 1.87434e+06
711033, 70387.8, 1.87447e+06
711720, 67141.8, 1.87459e+06
712376, 63892.9, 1.87471e+06
712998, 60641, 1.87483e+06
713588, 57386.3, 1.87493e+06
714146, 54129, 1.87503e+06
714671, 50869.3, 1.87513e+06
715163, 47607.2, 1.87522e+06
715623, 44343, 1.8753e+06
716050, 41076.7, 1.87538e+06
716445, 37808.6, 1.87545e+06
716806, 34538.7, 1.87552e+06
717135, 31267.2, 1.87558e+06
717432, 27994.4, 1.87563e+06
717695, 24720.2, 1.87568e+06
717926, 21445, 1.87572e+06
718124, 18168.7, 1.87576e+06
718289, 14891.6, 1.87579e+06
718422, 11613.9, 1.87581e+06
718522, 8335.57, 1.87583e+06
718589, 5056.9, 1.87584e+06
718623, 1778, 1.87585e+06
718624, -1500.98, 1.87585e+06
718593, -4779.89, 1.87584e+06
718529, -8058.59, 1.87583e+06
718432, -11336.9, 1.87581e+06
718302, -14614.7, 1.87579e+06
718139, -17891.9, 1.87576e+06
717944, -21168.2, 1.87572e+06
717716, -24443.6, 1.87568e+06
717455, -27717.8, 1.87564e+06
717162, -30990.8, 1.87558e+06
716835, -34262.4, 1.87552e+06
716476, -37532.4, 1.87546e+06
716085, -40800.7, 1.87539e+06
715660, -44067.1, 1.87531e+06
715203, -47331.5, 1.87523e+06
714714, -50593.8, 1.87514e+06
714192, -53853.7, 1.87504e+06
713637, -57111.2, 1.87494e+06
713049, -60366.1, 1.87484e+06
712429, -63618.2, 1.87472e+06
711777, -66867.5, 1.8746e+06
711092, -70113.6, 1.87448e+06
710375, -73356.6, 1.87435e+06
709625, -76596.3, 1.87421e+06
708843, -79832.4, 1.87407e+06
708028, -83064.9, 1.87392e+06
707181, -86293.6, 1.87377e+06
706302, -89518.4, 1.87361e+06
705391, -92739.1, 1.87345e+06
704448, -95955.5, 1.87327e+06
703472, -99167.6, 1.8731e+06
702464, -102375, 1.87291e+06
701425, -105578, 1.87272e+06
700353, -108776, 1.87253e+06
699249, -111969, 1.87233e+06
