position (Re),magnetic field (T),magnetic gradient (T/m)
-2.86828e+07,5.60663e-05,-3.87552e-12
-2.85681e+07,5.56226e-05,-3.86001e-12
-2.84534e+07,5.51806e-05,-3.84451e-12
-2.83386e+07,5.47404e-05,-3.82901e-12
-2.82239e+07,5.4302e-05,-3.81351e-12
-2.81092e+07,5.38653e-05,-3.79801e-12
-2.79944e+07,5.34305e-05,-3.7825e-12
-2.78797e+07,5.29974e-05,-3.767e-12
-2.7765e+07,5.25661e-05,-3.7515e-12
-2.76503e+07,5.21366e-05,-3.736e-12
-2.75355e+07,5.17088e-05,-3.7205e-12
-2.74208e+07,5.12829e-05,-3.70499e-12
-2.73061e+07,5.08587e-05,-3.68949e-12
-2.71913e+07,5.04363e-05,-3.67399e-12
-2.70766e+07,5.00156e-05,-3.65849e-12
-2.69619e+07,4.95968e-05,-3.64298e-12
-2.68471e+07,4.91797e-05,-3.62748e-12
-2.67324e+07,4.87644e-05,-3.61198e-12
-2.66177e+07,4.83509e-05,-3.59648e-12
-2.65029e+07,4.79391e-05,-3.58098e-12
-2.63882e+07,4.75292e-05,-3.56547e-12
-2.62735e+07,4.7121e-05,-3.54997e-12
-2.61587e+07,4.67146e-05,-3.53447e-12
-2.6044e+07,4.631e-05,-3.51897e-12
-2.59293e+07,4.59071e-05,-3.50347e-12
-2.58145e+07,4.5506e-05,-3.48796e-12
-2.56998e+07,4.51068e-05,-3.47246e-12
-2.55851e+07,4.47092e-05,-3.45696e-12
-2.54704e+07,4.43135e-05,-3.44146e-12
-2.53556e+07,4.39196e-05,-3.42596e-12
-2.52409e+07,4.35274e-05,-3.41045e-12
-2.51262e+07,4.3137e-05,-3.39495e-12
-2.50114e+07,4.27484e-05,-3.37945e-12
-2.48967e+07,4.23615e-05,-3.36395e-12
-2.4782e+07,4.19765e-05,-3.34845e-12
-2.46672e+07,4.15932e-05,-3.33294e-12
-2.45525e+07,4.12117e-05,-3.31744e-12
-2.44378e+07,4.0832e-05,-3.30194e-12
-2.4323e+07,4.0454e-05,-3.28644e-12
-2.42083e+07,4.00778e-05,-3.27094e-12
-2.40936e+07,3.97035e-05,-3.25543e-12
-2.39788e+07,3.93308e-05,-3.23993e-12
-2.38641e+07,3.896e-05,-3.22443e-12
-2.37494e+07,3.8591e-05,-3.20893e-12
-2.36347e+07,3.82237e-05,-3.19342e-12
-2.35199e+07,3.78582e-05,-3.17792e-12
-2.34052e+07,3.74945e-05,-3.16242e-12
-2.32905e+07,3.71325e-05,-3.14692e-12
-2.31757e+07,3.67724e-05,-3.13142e-12
-2.3061e+07,3.6414e-05,-3.11591e-12
-2.29463e+07,3.60574e-05,-3.10041e-12
-2.28315e+07,3.57026e-05,-3.08491e-12
-2.27168e+07,3.53495e-05,-3.06941e-12
-2.26021e+07,3.49982e-05,-3.05391e-12
-2.24873e+07,3.46488e-05,-3.0384e-12
-2.23726e+07,3.4301e-05,-3.0229e-12
-2.22579e+07,3.39551e-05,-3.0074e-12
-2.21431e+07,3.3611e-05,-2.9919e-12
-2.20284e+07,3.32686e-05,-2.9764e-12
-2.19137e+07,3.2928e-05,-2.96089e-12
-2.1799e+07,3.25892e-05,-2.94539e-12
-2.16842e+07,3.22521e-05,-2.92989e-12
-2.15695e+07,3.19169e-05,-2.91439e-12
-2.14548e+07,3.15834e-05,-2.89889e-12
-2.134e+07,3.12517e-05,-2.88338e-12
-2.12253e+07,3.09218e-05,-2.86788e-12
-2.11106e+07,3.05936e-05,-2.85238e-12
-2.09958e+07,3.02672e-05,-2.83688e-12
-2.08811e+07,2.99427e-05,-2.82138e-12
-2.07664e+07,2.96198e-05,-2.80587e-12
